week_end_num,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,A65,A66,A67,A68,A69,A70,A71,A72,A73,A74,A75,A76,A77,A78,A79,A80+
2020.0109289617487,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,2.0800004160599227e-5
2020.0300546448088,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
2020.049180327869,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
2020.068306010929,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,2.0800004160599227e-5
2020.0874316939892,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,1.0400010399735608e-4,-0,1.0400010399735608e-4,-0,-0,-0,-0,-0,8.840007513974057e-5,-0,-0,-0,-0,9.360008424279262e-5,-0,9.880009386007336e-5,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,7.800005849941486e-5,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
2020.1065573770493,-0,-0,1.2480014975805513e-4,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,1.0920011466041406e-4,-0,-0,-0,-0,1.0400010399735608e-4,-0,-0,-0,-0,-0,-0,8.840007513974057e-5,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,1.560002339991807e-4,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
2020.1256830601094,-0,-0,-0,2.496005990433212e-4,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,1.0400010399735608e-4,-0,1.0400010399735608e-4,-0,-0,-0,-0,-0,8.840007513974057e-5,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
2020.1448087431695,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,1.2480014975805513e-4,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,1.0400010399735608e-4,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
2020.1639344262296,-0,-0,-0,-0,-0,-0,1.3000016250112246e-4,-0,-0,-0,-0,-0,-0,-0,-0,-0,2.6520067626126557e-4,-0,-0,2.444005743401677e-4,-0,-0,1.0920011466041406e-4,2.0800041600131737e-4,3.1200093600116947e-4,1.0400010399735608e-4,1.0400010399735608e-4,-0,2.0280039545820006e-4,9.880009386007336e-5,3.5880123786735196e-4,1.8200031850309012e-4,5.304027050563269e-4,2.7040070304443957e-4,1.872003369604186e-4,1.92400355943524e-4,9.880009386007336e-5,9.880009386007336e-5,-0,-0,1.92400355943524e-4,1.0400010399735608e-4,2.0800041600131737e-4,1.0400010399735608e-4,1.0920011466041406e-4,1.0920011466041406e-4,2.1840045864179126e-4,1.0920011466041406e-4,-0,8.840007513974057e-5,8.840007513974057e-5,3.276010319450948e-4,7.800005849941486e-5,7.800005849941486e-5,7.280005096214098e-5,2.2360048073914813e-4,7.280005096214098e-5,-0,7.800005849941486e-5,7.800005849941486e-5,1.6640026623957973e-4,8.840007513974057e-5,-0,-0,9.880009386007336e-5,3.1200093600116947e-4,-0,-0,1.1440012583770105e-4,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
2020.1830601092897,2.6520067626126557e-4,-0,-0,1.2480014975805513e-4,6.240037440305762e-4,-0,-0,2.7040070304443957e-4,-0,1.4040018954149187e-4,-0,1.3520017575841925e-4,-0,4.056015818483426e-4,-0,6.812044618983496e-4,7.956060864047533e-4,5.304027050563269e-4,7.748057723194122e-4,7.384052426877714e-4,5.772032034858707e-4,7.800058500578373e-4,4.3680183457128774e-4,4.1600166400929074e-4,5.200026000149668e-4,6.34403869872398e-4,7.332051691094672e-4,5.096024970536484e-4,0.0012064139944565,8.736073383242176e-4,8.008061662232416e-4,0.0010868113572177433,1.768003005599921e-4,5.460028665213333e-4,3.7440134784568944e-4,8.632071646410181e-4,7.748057723194122e-4,7.800058500578373e-4,4.784022006557077e-4,0.0010712110335134644,0.0010660109266482322,5.096024970536484e-4,8.268065731274711e-4,0.001570423713516406,0.0012844158626006128,0.0012064139944565,8.684072512197225e-4,9.724090920553305e-4,8.996077816296376e-4,0.00127401560675402,0.0013156166426210114,0.0011440125841828258,0.0011752132799592396,0.0010712110335134644,0.001196013754210651,7.488053914101972e-4,0.0010348102963946028,6.76004394040201e-4,5.460028665213333e-4,5.56402976762801e-4,6.656042598781713e-4,8.632071646410181e-4,3.692013106681607e-4,0.0011388124700430575,4.940023465146336e-4,2.0800041600131737e-4,2.1320043705866555e-4,4.5240196794999024e-4,5.720031460221995e-4,1.196001375407635e-4,1.196001375407635e-4,-0,2.808007581650308e-4,3.016008746405083e-4,1.768003005599921e-4,8.372067395304327e-4,3.2240099944185553e-4,6.448039977942706e-4,-0,2.9640084474307345e-4,1.8200031850309012e-4
