Year,Week,week_start,week_start_num,week_end,week_end_num,Sex,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,A65,A66,A67,A68,A69,A70,A71,A72,A73,A74,A75,A76,A77,A78,A79,A80+
2020,6,2020-02-03,2020.0901639344263,2020-02-09,2020.1065573770493,male,-0,-0,1.2480014975805513e-4,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,1.0920011466041406e-4,-0,-0,-0,-0,1.0400010399735608e-4,-0,-0,-0,-0,-0,-0,8.840007513974057e-5,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,1.560002339991807e-4,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
2020,6,2020-02-03,2020.0901639344263,2020-02-09,2020.1065573770493,female,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,9.880009386007336e-5,-0,-0,-0,-0,-0,1.0920011466041406e-4,-0,-0,-0,9.880009386007336e-5,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
2020,7,2020-02-10,2020.1092896174864,2020-02-16,2020.1256830601094,male,-0,-0,-0,2.496005990433212e-4,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,1.0400010399735608e-4,-0,1.0400010399735608e-4,-0,-0,-0,-0,-0,8.840007513974057e-5,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
2020,7,2020-02-10,2020.1092896174864,2020-02-16,2020.1256830601094,female,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
2020,8,2020-02-17,2020.1284153005465,2020-02-23,2020.1448087431695,male,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,1.2480014975805513e-4,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,1.0400010399735608e-4,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
2020,8,2020-02-17,2020.1284153005465,2020-02-23,2020.1448087431695,female,-0,-0,-0,-0,-0,-0,-0,-0,1.4560020383879417e-4,-0,-0,-0,-0,-0,-0,-0,-0,-0,1.4040018954149187e-4,-0,-0,-0,1.196001375407635e-4,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,1.0400010399735608e-4,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
2020,9,2020-02-24,2020.1475409836066,2020-03-01,2020.1639344262296,male,-0,-0,-0,-0,-0,-0,1.3000016250112246e-4,-0,-0,-0,-0,-0,-0,-0,-0,-0,2.6520067626126557e-4,-0,-0,2.444005743401677e-4,-0,-0,1.0920011466041406e-4,2.0800041600131737e-4,3.1200093600116947e-4,1.0400010399735608e-4,1.0400010399735608e-4,-0,2.0280039545820006e-4,9.880009386007336e-5,3.5880123786735196e-4,1.8200031850309012e-4,5.304027050563269e-4,2.7040070304443957e-4,1.872003369604186e-4,1.92400355943524e-4,9.880009386007336e-5,9.880009386007336e-5,-0,-0,1.92400355943524e-4,1.0400010399735608e-4,2.0800041600131737e-4,1.0400010399735608e-4,1.0920011466041406e-4,1.0920011466041406e-4,2.1840045864179126e-4,1.0920011466041406e-4,-0,8.840007513974057e-5,8.840007513974057e-5,3.276010319450948e-4,7.800005849941486e-5,7.800005849941486e-5,7.280005096214098e-5,2.2360048073914813e-4,7.280005096214098e-5,-0,7.800005849941486e-5,7.800005849941486e-5,1.6640026623957973e-4,8.840007513974057e-5,-0,-0,9.880009386007336e-5,3.1200093600116947e-4,-0,-0,1.1440012583770105e-4,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
2020,9,2020-02-24,2020.1475409836066,2020-03-01,2020.1639344262296,female,-0,-0,1.3520017575841925e-4,1.3000016250112246e-4,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,1.4560020383879417e-4,-0,-0,1.4040018954149187e-4,1.4040018954149187e-4,-0,1.2480014975805513e-4,1.2480014975805513e-4,2.3920055016279234e-4,3.432011325633059e-4,1.1440012583770105e-4,5.824032614637801e-4,2.2880050336228263e-4,2.1840045864179126e-4,4.3160179114788905e-4,-0,9.360008424279262e-5,9.880009386007336e-5,-0,2.912008153656445e-4,1.9760037544086007e-4,-0,2.0280039545820006e-4,9.880009386007336e-5,-0,-0,2.9640084474307345e-4,1.0400010399735608e-4,1.0400010399735608e-4,1.0400010399735608e-4,3.2240099944185553e-4,1.0920011466041406e-4,4.3680183457128774e-4,-0,-0,9.360008424279262e-5,8.840007513974057e-5,-0,2.3920055016279234e-4,7.800005849941486e-5,-0,-0,7.280005096214098e-5,-0,1.560002339991807e-4,7.800005849941486e-5,8.320006656246347e-5,-0,-0,9.360008424279262e-5,9.360008424279262e-5,-0,-0,-0,2.0800041600131737e-4,2.1320043705866555e-4,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,1.5600002337562476e-5
2020,10,2020-03-02,2020.1666666666667,2020-03-08,2020.1830601092897,male,2.6520067626126557e-4,-0,-0,1.2480014975805513e-4,6.240037440305762e-4,-0,-0,2.7040070304443957e-4,-0,1.4040018954149187e-4,-0,1.3520017575841925e-4,-0,4.056015818483426e-4,-0,6.812044618983496e-4,7.956060864047533e-4,5.304027050563269e-4,7.748057723194122e-4,7.384052426877714e-4,5.772032034858707e-4,7.800058500578373e-4,4.3680183457128774e-4,4.1600166400929074e-4,5.200026000149668e-4,6.34403869872398e-4,7.332051691094672e-4,5.096024970536484e-4,0.0012064139944565,8.736073383242176e-4,8.008061662232416e-4,0.0010868113572177433,1.768003005599921e-4,5.460028665213333e-4,3.7440134784568944e-4,8.632071646410181e-4,7.748057723194122e-4,7.800058500578373e-4,4.784022006557077e-4,0.0010712110335134644,0.0010660109266482322,5.096024970536484e-4,8.268065731274711e-4,0.001570423713516406,0.0012844158626006128,0.0012064139944565,8.684072512197225e-4,9.724090920553305e-4,8.996077816296376e-4,0.00127401560675402,0.0013156166426210114,0.0011440125841828258,0.0011752132799592396,0.0010712110335134644,0.001196013754210651,7.488053914101972e-4,0.0010348102963946028,6.76004394040201e-4,5.460028665213333e-4,5.56402976762801e-4,6.656042598781713e-4,8.632071646410181e-4,3.692013106681607e-4,0.0011388124700430575,4.940023465146336e-4,2.0800041600131737e-4,2.1320043705866555e-4,4.5240196794999024e-4,5.720031460221995e-4,1.196001375407635e-4,1.196001375407635e-4,-0,2.808007581650308e-4,3.016008746405083e-4,1.768003005599921e-4,8.372067395304327e-4,3.2240099944185553e-4,6.448039977942706e-4,-0,2.9640084474307345e-4,1.8200031850309012e-4
2020,10,2020-03-02,2020.1666666666667,2020-03-08,2020.1830601092897,female,-0,-0,-0,1.3000016250112246e-4,-0,-0,2.7560073034184584e-4,1.4560020383879417e-4,2.860007865024482e-4,2.912008153656445e-4,1.4040018954149187e-4,5.824032614637801e-4,4.2640174825027215e-4,4.2640174825027215e-4,5.824032614637801e-4,2.860007865024482e-4,2.808007581650308e-4,7.07204809000845e-4,6.916045991804607e-4,5.356027583599094e-4,0.001003609684867492,7.436053167918634e-4,0.0010816112487982198,8.008061662232416e-4,0.0017160283146203095,0.0016224253099669165,6.812044618983496e-4,4.4200187850892194e-4,8.632071646410181e-4,5.200026000149668e-4,3.8480142376654273e-4,6.76004394040201e-4,7.54005466554319e-4,5.772032034858707e-4,0.0010764111408929447,3.016008746405083e-4,2.0280039545820006e-4,9.048078718484659e-4,6.916045991804607e-4,4.940023465146336e-4,2.9640084474307345e-4,5.148025482771891e-4,7.332051691094672e-4,0.0010608108203087946,9.672089950704858e-4,0.0011076117961076025,0.0012012138740764501,8.684072512197225e-4,0.001003609684867492,8.268065731274711e-4,6.188036818867976e-4,0.001331217039648678,8.736073383242176e-4,0.0010868113572177433,9.100079625930854e-4,4.5240196794999024e-4,5.980034385291251e-4,2.2360048073914813e-4,6.968046686044236e-4,4.732021530722362e-4,4.10801622665926e-4,0.00025480062426070645,5.356027583599094e-4,3.692013106681607e-4,6.604041935742898e-4,3.9000146250986754e-4,9.880009386007336e-5,3.068009050637224e-4,2.0800041600131737e-4,1.0400010399735608e-4,3.172009674643959e-4,1.0920011466041406e-4,-0,-0,1.5080021866187252e-4,5.200026000149668e-4,2.6520067626126557e-4,5.252026522785282e-4,1.4040018954149187e-4,2.2880050336228263e-4,1.560002339991807e-4
2020,11,2020-03-09,2020.1857923497269,2020-03-15,2020.2021857923498,male,2.6520067626126557e-4,7.748057723194122e-4,7.644056183968352e-4,5.044024463558912e-4,6.240037440305762e-4,7.748057723194122e-4,5.252026522785282e-4,8.112063274260393e-4,6.76004394040201e-4,0.0015236223211765214,0.0016224253099669165,0.0016484261276904955,0.0016068248255685408,5.408028121777293e-4,0.0016484261276904955,0.0019032348294126095,0.0025220611604778874,0.0018564331375272125,0.002969284773888745,0.0034529146380358157,0.002189246083955761,0.003125293916023304,0.0030524895914443187,0.0027976752581388934,0.005117051763078601,0.004451390522233534,0.004711413430253976,0.005590300484036865,0.00662002137330365,0.006313183217977983,0.007660164184941631,0.005980343876362871,0.004342181288592536,0.006167565743876809,0.004092561044388847,0.006822847588589405,0.006599218729286997,0.004482593202544671,0.0059335385148102425,0.0064171959491335275,0.005725515195395651,0.005715114051269498,0.007353319891966888,0.006588817410399463,0.007056878820055708,0.007010072489501038,0.007941006311263562,0.010603881102422153,0.010083777653838487,0.008367473181271885,0.008700327802714423,0.009324435960666313,0.008461088328199601,0.009964154596493578,0.008383075694054132,0.009048787267324722,0.006786442825027931,0.006437998520331927,0.00537707799972235,0.006302781956304643,0.004409786977610334,0.004565800441571103,0.0046906115497633806,0.004753017216193921,0.004753017216193921,0.003634927042177917,0.0023712540650024897,0.0035101184678309845,0.003328106500541602,0.002610465523232866,0.0034841167192155285,0.002262049199925457,0.0022308478520263295,0.0025792639662742755,0.0023192517196952167,0.0031460951703395374,0.002397255257160785,0.0017732302337492335,0.0015444229347952216,0.0016224253099669165,0.0015236223211765214
2020,11,2020-03-09,2020.1857923497269,2020-03-15,2020.2021857923498,female,5.56402976762801e-4,2.7040070304443957e-4,2.6520067626126557e-4,1.3000016250112246e-4,3.9520150176742684e-4,6.812044618983496e-4,5.51202921379175e-4,1.4560020383879417e-4,0.0011492126988483903,8.788074259429569e-4,8.580070785765575e-4,0.0018928344497984545,0.0015548232447247564,7.1240487998485e-4,0.002189246083955761,0.0028808798011093497,0.0025376619194523737,0.0022568489739783763,0.0016588264584213117,0.0024024554971491235,0.003260502217811224,0.004591802731076329,0.003837741614408134,0.004581401813715118,0.004004154161913369,0.004758217691780449,0.005923137329074769,0.006266377556829031,0.0067916435039738305,0.0067656401144341426,0.005257465769371192,0.004919432692832402,0.004727014846080024,0.0033749095170002483,0.003125293916023304,0.004425388302940482,0.004851826341216602,0.004727014846080024,0.004633406421319078,0.004544998619330876,0.004914232201128649,0.005262666295407436,0.004399386096655418,0.005715114051269498,0.005486289406854119,0.006646024690024559,0.00567350949556945,0.0063911927468413045,0.007842191316088062,0.0067968441834456396,0.007899399974617293,0.007062079526054584,0.007077681647160509,0.0060531523002996255,0.005683910631373779,0.004472192307027267,0.004472192307027267,0.004815422957523926,0.004664609210849361,0.004732215319060305,0.003759735916092501,0.0039625509751080625,0.002683269228943592,0.002662468159768038,0.002074841393360111,0.0024336569480174867,0.001882434072264451,0.0020488403624213725,0.0017472293536158062,0.0019032348294126095,0.0018096314877705962,0.0011128119071272355,0.0011076117961076025,9.204081456366061e-4,0.0015236223211765214,0.0017420291791526898,6.604041935742898e-4,0.001710828143277401,0.0019292357875457782,0.0011492126988483903,9.672089950704858e-4
2020,12,2020-03-16,2020.204918032787,2020-03-22,2020.22131147541,male,0.003286503854617896,0.0023296521845962968,0.001778430411332561,0.0016328256354974048,0.002002038539491907,0.0015444229347952216,0.0028756795132703814,0.0028444777971750983,0.002438857191646164,0.002636466834996906,0.0033853101930444904,0.002470058664356574,0.004019755365543792,0.003364508843036276,0.00521586157983388,0.003260502217811224,0.005709913479989479,0.0064952056340352796,0.007228502392555595,0.011347638072338734,0.0127935736740862,0.012939209704444394,0.014926142003848475,0.017526953457563752,0.017859866714652974,0.01886902304778601,0.018421662669086174,0.023389659559214817,0.021376393149766883,0.0247735002775484,0.02040360242834328,0.020845777772977137,0.02348330175439068,0.020231935366603407,0.017116016595036396,0.01932158920745296,0.019222752583541985,0.018707764793239677,0.019623302168789433,0.017891077441780787,0.018921041946253322,0.019399618253764822,0.020398400387839855,0.024794310193473938,0.02063769478948283,0.018624534922042267,0.02196944027250908,0.024242850235245934,0.02635507762293479,0.025834816607981623,0.03067864802289615,0.027895080734673915,0.028202046265837645,0.023530122915212774,0.029716089209353567,0.02512206746780387,0.024794310193473938,0.01976375535138826,0.02057006799913077,0.020195521214244932,0.019045887514883748,0.016288950982899834,0.01738130457779542,0.015311053897737304,0.013859846906638294,0.01287159292533582,0.010791119617384493,0.012112210521670226,0.011134391979197931,0.008424682417701872,0.010687098136945756,0.010931548946051022,0.012127814158101031,0.009860134770317457,0.007311714025544296,0.009236020182871087,0.011035570915488218,0.009027983651655722,0.010635087474764283,0.010333426659940269,0.00934003876058632
2020,12,2020-03-16,2020.204918032787,2020-03-22,2020.22131147541,female,0.0022256476291995183,0.001362417847750506,9.360084240991387e-4,0.0013260169067880205,0.0017056279724545263,0.0012272144811884878,0.0023452528858511536,0.0011440125841828258,0.003302104842938069,0.002932882708067575,0.0028600786528853693,0.00218404586528353,0.003395710871169003,0.0044305887457612245,0.0036505281350378074,0.0040301561705664,0.004649007813746687,0.005923137329074769,0.008429883260501482,0.01480130632580804,0.01580000014155917,0.01575838751629324,0.020268349544467497,0.019129118060496397,0.0186453423773541,0.018910638162396836,0.02323358960866415,0.0215532661452516,0.022531280627817375,0.018218791207616443,0.019508859115309377,0.01881180231957845,0.01815636937870107,0.014952149474492278,0.016127700729256407,0.0142811608931431,0.016985973960557763,0.015997660566351175,0.015378673849002994,0.01453083005150185,0.015331860027223648,0.018993868491525404,0.016034071779188103,0.015883225492003324,0.015285046247583377,0.0166218563141458,0.017787041757538067,0.021017446861203895,0.01860372747505639,0.023327231522781853,0.02280700080045453,0.022026664475484493,0.021787363681988747,0.019165531466089826,0.0213087653987144,0.020476431049993696,0.019529666924480757,0.01565955766473659,0.01624213634162231,0.014036694337124405,0.016013265368732443,0.011638902441767738,0.011633701278010085,0.011841748234208584,0.00925162295626162,0.007592554269948531,0.008414280733668927,0.00890316213242793,0.008336268169746136,0.005813925004463643,0.007025674595008511,0.005787922103842218,0.007150491607565198,0.00592833792167956,0.0050338436419635705,0.010957554418900645,0.007660164184941631,0.0048778287737478,0.008549502788384242,0.005517492708164296,0.005449885578993458
2020,13,2020-03-23,2020.224043715847,2020-03-29,2020.24043715847,male,0.005787922103842218,0.003749335165157985,0.0019032348294126095,0.002137243920664269,0.0032553018920135506,0.003478916371049182,0.00261566578454326,0.0029796853688030733,0.0032553018920135506,0.004019755365543792,0.003926148213960467,0.0050806481937046895,0.005897134373841046,0.007270108192405292,0.0053510753175478225,0.0065160082364414396,0.006240374429955163,0.009142403640825391,0.015108194571524151,0.01542028617041256,0.02028915765754561,0.023093127053664043,0.024300076940086512,0.022921451112809403,0.02287463050003617,0.024487364778082346,0.02470066563739144,0.026646426064969374,0.024685058227776162,0.027395615268772138,0.025215712782768726,0.025376991220538814,0.023925503287740443,0.023405266580030695,0.023441682980160427,0.022780989400960842,0.02349370645315294,0.02416481392104775,0.021828981132186814,0.022947462582570632,0.02135038246587484,0.023993134442030734,0.020294359687120483,0.02092380910645847,0.022780989400960842,0.026516359594498717,0.026864938467750194,0.02575677790468735,0.02855063643920362,0.03175049123604822,0.03375375258980417,0.029450738291013447,0.03219796629897347,0.029357085349008386,0.02941431768241391,0.032307234050443064,0.029596420980512284,0.02762973910857567,0.025403003918641028,0.026901357290817052,0.024534186842978888,0.024128397014494946,0.02584522177727002,0.02320757799577594,0.0216833202022213,0.022942260287575157,0.019857391017210315,0.022193135242206584,0.020778150712009624,0.018390451623496243,0.020174713138630188,0.01834363509023906,0.019794967221257495,0.023816253147388236,0.018733774155313188,0.028966866572847146,0.025434219173531215,0.02290064194637099,0.028472593660054855,0.02657358880142324,0.025059637351513973
2020,13,2020-03-23,2020.224043715847,2020-03-29,2020.24043715847,female,0.004310978692535646,0.003270902870972542,0.002007238739956898,0.0031772970674157778,0.003676529966864721,0.0027196711200199947,0.0037285336695298504,0.0031460951703395374,0.0031564958006180316,0.004836224887943667,0.004576201355811764,0.005091049210924473,0.0032553018920135506,0.00542908340308526,0.006859252377637567,0.004753017216193921,0.009865335756681784,0.012970417478295986,0.017969104341553854,0.027343587891964963,0.024581008950040974,0.028909634731913676,0.03274951062810185,0.03173488171033182,0.028259277327995398,0.03387863377506636,0.029726495155305607,0.03232804698151775,0.03191178994279369,0.02966926247830991,0.025631916223012953,0.026531967553775116,0.02241162893230172,0.024893157407845867,0.024435340310973965,0.024846335019722523,0.022848619066712792,0.024352101271867984,0.02297347406533756,0.023826657912771082,0.02319197103429321,0.02818643780526826,0.025049232339419344,0.02658399411854058,0.02680250625897188,0.03125619186362982,0.03012192264474778,0.0343469408908722,0.03369131210964485,0.03141228589467296,0.03612134278216725,0.03333228080372293,0.029185388726731997,0.03368090537024011,0.034279296269098376,0.029882584594558902,0.026016907371119266,0.02710426262912664,0.02666203406328567,0.022078686532838312,0.02630825391843593,0.02404515846672684,0.018525699623015233,0.018177176646680372,0.01709000804212591,0.01635137057016812,0.012569919135928956,0.014327973769023073,0.014822112251336231,0.013740215162360118,0.016070483017514972,0.014353980940504243,0.01417713243095282,0.016996377359348447,0.013578972812054932,0.021750948440391216,0.016507419866139544,0.012127814158101031,0.015997660566351175,0.017813050659088257,0.018978262794668205
2020,14,2020-03-30,2020.2431693989072,2020-04-05,2020.25956284153,male,0.005787922103842218,0.003364508843036276,0.002922482122514309,0.0028912803783416852,0.0027508727612272207,0.0028340772293037934,0.0035309198760869213,0.003926148213960467,0.004472192307027267,0.004435789189096282,0.004602203650517907,0.005491489955775094,0.005626704410198463,0.00902278274904181,0.0053510753175478225,0.0078733960311214,0.009163207302270403,0.009672899607554079,0.015753185940472807,0.019612898244428863,0.018328029588521866,0.022312786434970013,0.022229550793465908,0.021985046867073175,0.020887394469597018,0.02289543965606542,0.023550932333556117,0.020034258846022147,0.0247891077137147,0.023311624525387008,0.020757342403251337,0.020211127276417346,0.02064809891888209,0.020502441296728256,0.022791393959198103,0.020955021672638508,0.017667400977983524,0.021241137735619742,0.017615383333597048,0.018957455206140072,0.017272068185691096,0.020216329298186144,0.018328029588521866,0.020819767354506157,0.020850979858236047,0.023009890163071724,0.021537659680270146,0.025543472713228644,0.022161921932850572,0.025376991220538814,0.027073046371698873,0.02527814308643993,0.025538270158516882,0.027900283525187867,0.02537178868248336,0.02452378193602447,0.024721475524169246,0.024409328096941,0.02727595237994031,0.024986802310579447,0.026282240767489605,0.02585562694864049,0.02556948549461241,0.023873479382754605,0.021189116516162825,0.02242203341663477,0.01877538916167991,0.01936320468424998,0.021007042657905466,0.020762544479663175,0.02185499205547191,0.021990249066300163,0.018400855303278077,0.02457580649161621,0.018015920537615346,0.03442499248688489,0.024154409088002503,0.029029301380254075,0.031391473330127144,0.03189097717832465,0.03786458248724768
